idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
806,6,5,50,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,10.602874,7.3788238,74.34939,47.71337
807,3,3,56,medium (3-4 steps),tiny (≤10),False,True,recovered,False,False,both_wrong,11.698702,7.7188525,80.89817,52.540134
808,6,4,39,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,13.900129,9.745554,104.31882,64.01837
809,2,2,65,easy (1-2 steps),small (11-100),True,True,both_correct,False,False,both_wrong,12.171805,7.2852297,59.49094,44.426136
810,6,6,57,hard (5-6 steps),medium (101-1K),True,False,regressed,False,False,both_wrong,12.473016,8.10652,77.32758,45.96424
811,2,2,67,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,11.74537,8.25276,99.975,51.888126
812,7,7,92,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,14.443291,11.134818,96.523,63.260254
813,3,3,53,medium (3-4 steps),tiny (≤10),False,True,recovered,False,True,recovered,11.366333,7.381988,83.55171,47.304573
814,8,8,65,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,8.719499,9.079188,49.08158,56.309208
815,8,5,64,very hard (7+ steps),tiny (≤10),True,True,both_correct,False,True,recovered,9.772476,5.6571803,61.660458,32.112156
816,3,3,24,medium (3-4 steps),large (>1K),True,True,both_correct,True,True,both_correct,13.30365,8.253607,117.45997,58.506344
817,2,2,28,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.638575,8.074719,116.50343,49.137
818,5,4,48,hard (5-6 steps),small (11-100),True,False,regressed,True,True,both_correct,12.609721,8.439334,93.64397,55.779392
819,2,2,39,easy (1-2 steps),large (>1K),True,True,both_correct,True,True,both_correct,13.886907,8.242456,97.93318,55.408623
820,3,3,52,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.686011,8.591476,109.37962,58.730824
821,2,1,63,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.349542,8.532971,93.21485,65.205986
822,3,3,32,medium (3-4 steps),large (>1K),True,True,both_correct,True,True,both_correct,12.164612,8.367091,94.92425,55.121296
823,3,3,84,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.204921,8.275874,77.915,51.998543
824,3,3,43,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.13984,9.040424,127.95455,62.322723
825,8,1,40,very hard (7+ steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,10.480504,6.3987083,74.51155,40.705265
826,4,4,61,medium (3-4 steps),small (11-100),True,True,both_correct,True,False,regressed,13.11448,10.494775,101.34182,80.8999
827,5,5,59,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.105829,8.546033,87.81113,66.74907
828,4,4,29,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.190127,8.950973,97.56894,62.354984
829,4,4,57,medium (3-4 steps),large (>1K),False,False,both_wrong,True,True,both_correct,10.933764,8.16554,77.78305,60.539463
830,5,5,50,hard (5-6 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,12.969873,10.154611,85.969795,62.351025
831,7,5,51,very hard (7+ steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,9.242047,8.843345,59.12243,57.354736
832,3,2,33,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.7265835,8.825604,93.9511,58.72743
